id,listing_url,last_scraped,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,cluster,centroid_group_recognized,centroid_group_change_pct_listings,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
5844314,https://www.airbnb.com/rooms/5844314,2020-09-01,Walk To Beach or City 1 -Our #1 Requested Room,30342817,https://www.airbnb.com/users/show/30342817,Piter & Stacy,"Boston, Massachusetts, United States",Dorchester,,42.31776,-71.05795,Private room in house,Private room,5,1.0,2.0,51.0,1,60,1.0,t,0,0,0,0,225,416603,f,,,Active,Active,16 Howes ST 13 2 Dorchester MA 02125,Limited Share Unit,2.0,,Active,Active,,107-1,True,0.0,72.26111549579879,,,#4CAF50,
13546414,https://www.airbnb.com/rooms/13546414,2020-09-01,Walk To Beach or City 2 - Spacious Room,30342817,https://www.airbnb.com/users/show/30342817,Piter & Stacy,"Boston, Massachusetts, United States",Dorchester,,42.31778,-71.05794,Private room in house,Private room,5,1.0,2.0,30.0,1,35,1.0,t,21,51,78,353,267,416603,f,,,Active,Active,16 Howes ST 13 2 Dorchester MA 02125,Limited Share Unit,2.0,,Active,Active,,107-1,True,0.0,79.33602192286828,,,#4CAF50,
18154901,https://www.airbnb.com/rooms/18154901,2020-09-01,"Walk To The Beach or City, Room 3",30342817,https://www.airbnb.com/users/show/30342817,Piter & Stacy,"Boston, Massachusetts, United States",Dorchester,,42.31778,-71.05794,Private room in house,Private room,5,1.0,2.0,53.0,1,14,1.0,t,24,54,84,359,152,414419,f,,,Active,Active,16 Howes ST 13 1 Dorchester MA 02125,Owner-Adjacent Unit,2.0,,Active,Active,,107-1,True,0.0,79.33602192286828,,,#4CAF50,
33417746,https://www.airbnb.com/rooms/33417746,2020-09-01,Walk to the city or beach 4,30342817,https://www.airbnb.com/users/show/30342817,Piter & Stacy,"Boston, Massachusetts, United States",Dorchester,,42.31717,-71.05874,Private room in house,Private room,3,1.0,1.0,45.0,1,14,1.0,t,25,55,85,360,41,414419,f,,,Active,Active,16 Howes ST 13 1 Dorchester MA 02125,Owner-Adjacent Unit,2.0,,Active,Active,,107-1,True,0.0,230.8887170395304,,,#4CAF50,
