id,listing_url,last_scraped,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,cluster,centroid_group_recognized,centroid_group_change_pct_listings,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
37927528,https://www.airbnb.com/rooms/37927528,2020-09-01,Flexible Housing | CoLiving | 1A,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Roxbury,,42.32152,-71.08937,Private room in apartment,Private room,1,1.0,0.0,48.0,45,1125,45.0,t,2,32,62,337,1,Missing,f,Thatch,814298.0,No license claimed,,,,,,No license claimed,No license claimed,,3-11,True,0.0,71.10953608002991,,,#FF9800,
37927764,https://www.airbnb.com/rooms/37927764,2020-09-01,Flexible Housing | CoLiving | Private BR - 1B,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Roxbury,,42.32236,-71.08877,Private room in apartment,Private room,1,1.0,1.0,48.0,45,1125,45.0,t,30,60,90,365,0,Missing,f,Thatch,814298.0,No license claimed,,,,,,No license claimed,No license claimed,,3-11,True,0.0,281.57290772133564,,,#FF9800,
37927954,https://www.airbnb.com/rooms/37927954,2020-09-01,Flexible Housing | CoLiving | Private BR -1C,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Roxbury,,42.32106,-71.08937,Private room in apartment,Private room,1,1.0,1.0,46.0,30,1125,30.0,t,5,5,5,260,1,Missing,f,Thatch,814298.0,No license claimed,,,,,,No license claimed,No license claimed,,3-11,True,0.0,220.5373264164399,,,#FF9800,
