id,listing_url,last_scraped,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,cluster,centroid_group_recognized,centroid_group_change_pct_listings,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
21861361,https://www.airbnb.com/rooms/21861361,2020-08-31,Sunset 206 GreenLine | 1BR 1BA | Walk to Beth Israel Deaconess and the GreenLine!,CorpGroup11,https://www.airbnb.com/users/show/71783,Lance,"Boston, Massachusetts, United States",Mission Hill,,42.3317,-71.10945,Entire apartment,Entire home/apt,4,1.0,1.0,75.0,32,1125,32.0,t,0,11,41,194,36,Missing,f,Lance,71783.0,No license claimed,,,,,,No license claimed,No license claimed,,11-3,True,0.0,111.90039611478214,,,#FF9800,
21861781,https://www.airbnb.com/rooms/21861781,2020-08-31,Sunset 306 GreenLine | 1BR 1BA | Walk to Dana Farber and the GreenLine!,CorpGroup11,https://www.airbnb.com/users/show/71783,Lance,"Boston, Massachusetts, United States",Mission Hill,,42.33191,-71.10906,Entire apartment,Entire home/apt,4,1.0,1.0,93.0,32,1125,32.0,t,1,1,31,184,43,Missing,f,Lance,71783.0,No license claimed,,,,,,No license claimed,No license claimed,,11-3,True,0.0,171.51652465746866,,,#FF9800,
21861961,https://www.airbnb.com/rooms/21861961,2020-08-31,Sunset 506 GreenLine | 1BR 1BA | Walk to Boston Children's and the GreenLine Trolley!,CorpGroup11,https://www.airbnb.com/users/show/71783,Lance,"Boston, Massachusetts, United States",Mission Hill,,42.33185,-71.10906,Entire apartment,Entire home/apt,4,1.0,2.0,99.0,32,1125,32.0,t,0,0,7,160,34,Missing,f,Lance,71783.0,No license claimed,,,,,,No license claimed,No license claimed,,11-3,True,0.0,150.32184758140855,,,#FF9800,
21862054,https://www.airbnb.com/rooms/21862054,2020-08-31,Sunset 404 GreenLine | 1BR 1BA | Walk to Brigham and Women's and GreenLine Trolley!,CorpGroup11,https://www.airbnb.com/users/show/71783,Lance,"Boston, Massachusetts, United States",Mission Hill,,42.3309,-71.10923000000003,Entire apartment,Entire home/apt,4,1.0,2.0,82.0,32,1125,32.0,t,0,0,7,160,29,Missing,t,Lance,71783.0,No license claimed,,,,,,No license claimed,No license claimed,,11-3,True,0.0,201.27264755031476,,,#FF9800,
21862176,https://www.airbnb.com/rooms/21862176,2020-08-31,Sunset 604 GreenLine | 1BR 1BA | Falkner Hospital and the GreenLine!,CorpGroup11,https://www.airbnb.com/users/show/71783,Lance,"Boston, Massachusetts, United States",Mission Hill,,42.3309,-71.10923000000003,Entire apartment,Entire home/apt,4,1.0,1.0,103.0,32,1125,32.0,t,0,21,51,204,34,Missing,f,Lance,71783.0,No license claimed,,,,,,No license claimed,No license claimed,,11-3,True,0.0,201.27264755031476,,,#FF9800,
