id,listing_url,last_scraped,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,cluster,centroid_group_recognized,centroid_group_change_pct_listings,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
40973792,https://www.airbnb.com/rooms/40973792,2020-09-01,Spacious room near BC and green T,CorpGroup38,https://www.airbnb.com/users/show/293373619,Jihane,,Brighton,,42.34387,-71.15268,Private room in bed and breakfast,Private room,2,1.0,1.0,55.0,28,1125,28.0,t,21,51,81,356,0,Missing,f,Jihane,293373619.0,No license claimed,,,,,,No license claimed,No license claimed,,38-2,True,0.0,50.90031476568764,,,#FF9800,
40988554,https://www.airbnb.com/rooms/40988554,2020-09-01,Very spacious room near green T and BC,CorpGroup38,https://www.airbnb.com/users/show/293373619,Jihane,,Brighton,,42.34343,-71.15250999999998,Private room in bed and breakfast,Private room,2,1.0,1.0,53.0,28,1125,28.0,t,0,0,0,255,2,Missing,f,Jihane,293373619.0,No license claimed,,,,,,No license claimed,No license claimed,,38-2,True,0.0,123.25135113095554,,,#FF9800,
43610374,https://www.airbnb.com/rooms/43610374,2020-09-01,Cozy rm 2 min to grn T & 15 mns walk BC & ELz hosp,CorpGroup38,https://www.airbnb.com/users/show/293373619,Jihane,,Brighton,,42.344,-71.15247,Private room in bed and breakfast,Private room,2,1.0,1.0,38.0,28,1125,28.0,t,0,0,5,280,0,Missing,t,Jihane,293373619.0,No license claimed,,,,,,No license claimed,No license claimed,,38-2,True,0.0,87.96883313128215,,,#FF9800,
