id,listing_url,last_scraped,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,cluster,centroid_group_recognized,centroid_group_change_pct_listings,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
12899321,https://www.airbnb.com/rooms/12899321,2020-08-31,"Kingston Street, 1bd Service Dwtwn Financial Area",CorpGroup25,https://www.airbnb.com/users/show/22541573,Furnished Quarters,,Chinatown,,42.35157,-71.05931,Entire serviced apartment,Entire home/apt,2,1.0,1.0,219.0,91,1125,91.0,t,29,59,89,364,3,Missing,f,Ken,22541573.0,No license claimed,,,,,,No license claimed,No license claimed,,26-2,True,0.0,111.73704963400034,,,#FF9800,
16962193,https://www.airbnb.com/rooms/16962193,2020-08-31,"Kingston Street, 1bd Service Dwtwn Financial Area-",CorpGroup25,https://www.airbnb.com/users/show/22541573,Furnished Quarters,,Chinatown,,42.35108,-71.0599,Entire serviced apartment,Entire home/apt,3,1.0,2.0,219.0,91,1125,91.0,t,29,59,89,364,0,Missing,f,Ken,22541573.0,No license claimed,,,,,,No license claimed,No license claimed,,26-2,True,0.0,127.69418473178163,,,#FF9800,
40747299,https://www.airbnb.com/rooms/40747299,2020-08-31,"Kingston Street, 1bd Service Dwtwn Financial Area*",CorpGroup25,https://www.airbnb.com/users/show/22541573,Furnished Quarters,,Chinatown,,42.35137,-71.05954,Entire serviced apartment,Entire home/apt,2,1.0,2.0,239.0,91,1125,91.0,t,29,59,89,364,0,Missing,f,Ken,22541573.0,No license claimed,,,,,,No license claimed,No license claimed,,26-2,True,0.0,16.023314168773208,,,#FF9800,
