id,listing_url,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,last_scraped,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,temp_class,cluster,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
22195,https://www.airbnb.com/rooms/22195,Copley House - Premium Studio,85130,https://www.airbnb.com/users/show/85130,Copley,"Boston, Massachusetts, United States",Back Bay,2020-08-31,,42.34558,-71.0793,Room in aparthotel,Private room,4,,2.0,152.0,1,1125,1.0,t,0,0,0,205,21,STRLH/STRBB,t,,,Exempt (not verified),,,Exempt: Lodging House / B&B,,,Exempt (not verified),Exempt (not verified): Lodging House / B&B,,-1.0,,,,,#9E9E9E,
29982429,https://www.airbnb.com/rooms/29982429,Standard Studio Apartment in Back Bay,85130,https://www.airbnb.com/users/show/85130,Copley,"Boston, Massachusetts, United States",Back Bay,2020-08-31,,42.34571,-71.08135,Room in boutique hotel,Private room,2,,1.0,134.0,1,1125,1.0,t,21,51,81,352,13,STRLH/STRBB,t,,,Exempt (not verified),,,Exempt: Lodging House / B&B,,,Exempt (not verified),Exempt (not verified): Lodging House / B&B,,0.0,69-1,314.94179461363564,,,#9E9E9E,
30104396,https://www.airbnb.com/rooms/30104396,Copley House - Standard King,85130,https://www.airbnb.com/users/show/85130,Copley,"Boston, Massachusetts, United States",Back Bay,2020-08-31,,42.34459,-71.08019,Room in boutique hotel,Private room,2,,1.0,143.0,1,1125,1.0,t,12,31,61,332,2,STRLH/STRBB,t,,,Exempt (not verified),,,Exempt: Lodging House / B&B,,,Exempt (not verified),Exempt (not verified): Lodging House / B&B,,1.0,69-1,199.7906760261849,,,#9E9E9E,
35915047,https://www.airbnb.com/rooms/35915047,Copley House - 1 Bedroom Suite,85130,https://www.airbnb.com/users/show/85130,Copley,"Boston, Massachusetts, United States",Back Bay,2020-08-31,,42.34459,-71.08019,Entire apartment,Entire home/apt,4,1.0,2.0,169.0,1,1125,1.0,t,19,49,79,350,7,STRLH/STRBB,t,,,Exempt (not verified),,,Exempt: Lodging House / B&B,,,Exempt (not verified),Exempt (not verified): Lodging House / B&B,,1.0,69-1,199.7906760261849,,,#9E9E9E,
35915207,https://www.airbnb.com/rooms/35915207,Studio with sofa bed in Back Bay,85130,https://www.airbnb.com/users/show/85130,Copley,"Boston, Massachusetts, United States",Back Bay,2020-08-31,,42.34565,-71.08126999999998,Room in boutique hotel,Private room,3,,2.0,143.0,91,1125,1.0,t,17,47,77,348,4,STRLH/STRBB,t,,,Exempt (not verified),,,Exempt: Lodging House / B&B,,,Exempt (not verified),Exempt (not verified): Lodging House / B&B,,0.0,69-1,284.44138054780336,,,#9E9E9E,
35916196,https://www.airbnb.com/rooms/35916196,Budget Studio in Back Bay,85130,https://www.airbnb.com/users/show/85130,Copley,"Boston, Massachusetts, United States",Back Bay,2020-08-31,,42.34459,-71.08019,Room in boutique hotel,Private room,2,,1.0,125.0,1,1125,1.0,t,20,48,78,349,97,STRLH/STRBB,t,,,Exempt (not verified),,,Exempt: Lodging House / B&B,,,Exempt (not verified),Exempt (not verified): Lodging House / B&B,,1.0,69-1,199.7906760261849,,,#9E9E9E,
