id,listing_url,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,last_scraped,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,temp_class,cluster,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
276450,https://www.airbnb.com/rooms/276450,19th Century Luxury | South End | 1BR 1BA #3,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Roxbury,2020-08-31,,42.33821,-71.07978,Entire apartment,Entire home/apt,4,1.0,1.0,113.0,30,1125,30.0,t,5,5,5,170,93,Missing,f,Thatch,814298.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,3-16,306.2929466324875,,,#FF9800,
349347,https://www.airbnb.com/rooms/349347,Experience Past|Enjoy Present|South End 1BR 1BA #2,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Roxbury,2020-08-31,,42.33824,-71.08171,Entire bed and breakfast,Entire home/apt,2,1.0,1.0,107.0,30,365,29.0,t,1,11,12,79,111,Missing,f,Thatch,814298.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,3-16,220.70024968707668,,,#FF9800,
658029,https://www.airbnb.com/rooms/658029,Trendy Fun Spot|Historic South End | 1BR 1BA #1,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Roxbury,2020-08-31,,42.33922000000001,-71.08140999999998,Entire apartment,Entire home/apt,4,1.0,1.0,113.0,30,1125,30.0,t,0,0,0,151,117,Missing,f,Thatch,814298.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,3-16,353.57309660185524,,,#FF9800,
2372987,https://www.airbnb.com/rooms/2372987,Modern South End Pied a Terre | 1BR 1BA,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",South End,2020-08-31,,42.33671,-71.07545999999998,Entire bed and breakfast,Entire home/apt,2,1.0,1.0,144.0,28,365,28.0,t,0,0,0,16,88,416007,f,Thatch,814298.0,Expired/Void/Revoked,Void,,Home Share Unit,1.0,,Expired/Void/Revoked,Void,,-1.0,,,,,#FF5722,
5717690,https://www.airbnb.com/rooms/5717690,City Views|19th Cent. Past on Tremont| 1BR 1BA #5,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Roxbury,2020-08-31,,42.33988,-71.08159,Entire apartment,Entire home/apt,4,1.0,1.0,113.0,30,1125,30.0,t,0,0,0,91,79,STRLH/STRBB,f,Thatch,814298.0,Exempt (not verified),,,Exempt: Lodging House / B&B,,,Exempt (not verified),Exempt (not verified): Lodging House / B&B,,-1.0,,,,,#9E9E9E,
6685682,https://www.airbnb.com/rooms/6685682,Vintage Brownstone on Newbury|1 BR 1BA #3,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Back Bay,2020-08-31,,42.34809,-71.08559,Entire apartment,Entire home/apt,4,1.0,2.0,101.0,2,365,2.0,t,2,2,2,132,95,STRLH/STRBB,t,Thatch,814298.0,Exempt (not verified),,,Exempt: Lodging House / B&B,,,Exempt (not verified),Exempt (not verified): Lodging House / B&B,,0.0,3-15,401.10111532417113,,,#9E9E9E,
7633883,https://www.airbnb.com/rooms/7633883,Beacon Hill Duplex on Charles|3 BR 2BA,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Beacon Hill,2020-08-31,,42.35738,-71.07135,Entire apartment,Entire home/apt,7,3.0,3.0,310.0,2,365,2.0,t,20,41,43,43,92,STRLH/STRBB,t,Thatch,814298.0,Exempt (not verified),,,Exempt: Lodging House / B&B,,,Exempt (not verified),Exempt (not verified): Lodging House / B&B,,1.0,3-23,122.45071169891352,,,#9E9E9E,
7933149,https://www.airbnb.com/rooms/7933149,WB Quarters™ by STRB|Hangout|Priv. Room|Shared BA,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",South Boston,2020-09-01,,42.34305,-71.05566999999998,Entire bed and breakfast,Entire home/apt,2,1.0,1.0,121.0,28,365,28.0,t,0,26,56,239,25,STRLH/STRBB,f,Thatch,814298.0,Exempt (not verified),,,Exempt: Lodging House / B&B,,,Exempt (not verified),Exempt (not verified): Lodging House / B&B,,2.0,3-3,6634.450487952297,3-3-0,97.59728112266191,#9E9E9E,True
13585624,https://www.airbnb.com/rooms/13585624,Tree-lined Charlestown|Historic|2BR 1BA,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Charlestown,2020-08-31,,42.375,-71.05778000000002,Entire apartment,Entire home/apt,4,2.0,2.0,249.0,91,1125,91.0,t,0,0,0,242,40,Missing,f,Thatch,814298.0,No license claimed,,,,,,No license claimed,No license claimed,,-1.0,,,,,#FF9800,
15172518,https://www.airbnb.com/rooms/15172518,Spacious | Cozy | Brownstone on Comm | 1BR 1 BA #1,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Back Bay,2020-09-01,,42.35024,-71.09083000000003,Entire apartment,Entire home/apt,4,1.0,1.0,149.0,28,1124,28.0,t,0,0,0,151,52,STRES,f,Thatch,814298.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,-1.0,,,,,#9E9E9E,
15173160,https://www.airbnb.com/rooms/15173160,Generous Brownstone on Commonwealth|3BR 1BA #3,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Back Bay,2020-08-31,,42.34874,-71.09068,Entire apartment,Entire home/apt,6,3.0,3.0,172.0,29,365,29.0,t,0,0,0,1,78,Missing,f,Thatch,814298.0,No license claimed,,,,,,No license claimed,No license claimed,,1.0,3-18,353.95959951771766,,,#FF9800,
15173640,https://www.airbnb.com/rooms/15173640,Calm & Cool|Historic Back Bay Studio Spot,CorpGroup4,https://www.airbnb.com/users/show/814298,STR Boston,"Boston, Massachusetts, United States",Back Bay,2020-08-31,,42.34976,-71.09073000000002,Entire apartment,Entire home/apt,4,1.0,1.0,140.0,28,1124,28.0,t,0,0,1,152,50,Missing,f,Thatch,814298.0,No license claimed,,,,,,No license claimed,No license claimed,,1.0,3-18,25.97721075422864,,,#FF9800,
