id,listing_url,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,last_scraped,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,temp_class,cluster,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
17974950,https://www.airbnb.com/rooms/17974950,"★ Sunny, Spacious & Modern ★ Cleaned & Sanitized!",69587,https://www.airbnb.com/users/show/69587,Boris & Susan,"Boston, Massachusetts, United States",East Boston,2020-09-01,,42.3766,-71.03634,Private room in house,Private room,2,1.0,1.0,57.0,1,30,1.0,t,18,43,73,163,431,400320,f,,,Active (limit exceeded),Active,51 Bennington ST 01 East Boston MA 02128,Limited Share Unit,4.0,listing,Active (limit exceeded),Active (limit exceeded),,-1.0,,,,,#BF360C,
18290558,https://www.airbnb.com/rooms/18290558,★ Spacious & Modern ★ Professionally Sanitized ★,69587,https://www.airbnb.com/users/show/69587,Boris & Susan,"Boston, Massachusetts, United States",East Boston,2020-09-01,,42.37654000000001,-71.03772,Private room in house,Private room,2,1.0,1.0,56.57,1,30,1.0,t,22,52,82,172,468,400320,f,,,Active (limit exceeded),Active,51 Bennington ST 01 East Boston MA 02128,Limited Share Unit,4.0,listing,Active (limit exceeded),Active (limit exceeded),,0.0,54-2,971.3051731784143,,,#BF360C,
18342681,https://www.airbnb.com/rooms/18342681,"★ Modern, Cozy & Convenient ★ Close to Downtown!",69587,https://www.airbnb.com/users/show/69587,Boris & Susan,"Boston, Massachusetts, United States",East Boston,2020-09-01,,42.37497000000001,-71.03751,Private room in house,Private room,2,1.0,1.0,57.0,1,30,1.0,t,29,59,89,179,381,400320,f,,,Active (limit exceeded),Active,51 Bennington ST 01 East Boston MA 02128,Limited Share Unit,4.0,listing,Active (limit exceeded),Active (limit exceeded),,0.0,54-2,1256.0394786798527,,,#BF360C,
18342707,https://www.airbnb.com/rooms/18342707,★Clean | Cozy Bedroom - Close to Subway & Airport★,69587,https://www.airbnb.com/users/show/69587,Boris & Susan,"Boston, Massachusetts, United States",East Boston,2020-09-01,,42.37586,-71.0372,Private room in house,Private room,2,1.0,1.0,57.0,1,30,1.0,t,29,59,89,179,410,400320,f,,,Active (limit exceeded),Active,51 Bennington ST 01 East Boston MA 02128,Limited Share Unit,4.0,listing,Active (limit exceeded),Active (limit exceeded),,0.0,54-2,972.8585705930313,,,#BF360C,
22099733,https://www.airbnb.com/rooms/22099733,"★ Chic, Clean & Large ★ Professionally Cleaned! ★",69587,https://www.airbnb.com/users/show/69587,Boris & Susan,"Boston, Massachusetts, United States",East Boston,2020-09-01,,42.37844000000001,-71.03155,Private room in house,Private room,2,1.0,1.0,57.0,1,30,1.0,t,26,56,86,176,340,399362,f,,,Active (limit exceeded),Active,249 Princeton ST 01 East Boston MA 02128,Limited Share Unit,4.0,listing,Active (limit exceeded),Active (limit exceeded),,-1.0,,,,,#BF360C,
22327139,https://www.airbnb.com/rooms/22327139,"★ Clean, Modern & Bright ★ Great Location ★",69587,https://www.airbnb.com/users/show/69587,Boris & Susan,"Boston, Massachusetts, United States",East Boston,2020-09-01,,42.37977,-71.03145,Private room in house,Private room,2,1.0,1.0,57.0,1,30,1.0,t,21,47,77,167,326,399362,f,,,Active (limit exceeded),Active,249 Princeton ST 01 East Boston MA 02128,Limited Share Unit,4.0,listing,Active (limit exceeded),Active (limit exceeded),,-1.0,,,,,#BF360C,
22327141,https://www.airbnb.com/rooms/22327141,"★ Spacious, Modern & Comfy★Professionally Cleaned!",69587,https://www.airbnb.com/users/show/69587,Boris & Susan,"Boston, Massachusetts, United States",East Boston,2020-09-01,,42.3799,-71.02943,Private room in house,Private room,2,1.0,1.0,57.0,1,30,1.0,t,8,28,58,148,314,399362,f,,,Active (limit exceeded),Active,249 Princeton ST 01 East Boston MA 02128,Limited Share Unit,4.0,listing,Active (limit exceeded),Active (limit exceeded),,0.0,54-2,1593.954883037017,,,#BF360C,
22327142,https://www.airbnb.com/rooms/22327142,"★ Bright, Sunny & Clean ★ Professionally Cleaned!",69587,https://www.airbnb.com/users/show/69587,Boris & Susan,"Boston, Massachusetts, United States",East Boston,2020-09-01,,42.3803,-71.03001,Private room in house,Private room,2,1.0,1.0,57.0,1,30,1.0,t,23,53,83,173,293,399362,f,,,Active (limit exceeded),Active,249 Princeton ST 01 East Boston MA 02128,Limited Share Unit,4.0,listing,Active (limit exceeded),Active (limit exceeded),,0.0,54-2,1556.0526105454965,,,#BF360C,
