id,listing_url,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,last_scraped,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,temp_class,cluster,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
17553435,https://www.airbnb.com/rooms/17553435,Minion? Convention Center/Subway 1 bed 287-1A,CorpGroup37,https://www.airbnb.com/users/show/26704689,Mac,"Boston, Massachusetts, United States",South Boston,2020-09-01,,42.33273,-71.05386999999997,Entire apartment,Entire home/apt,5,1.0,1.0,80.0,91,1125,91.0,t,30,60,90,269,119,Missing,f,Mac,26704689.0,No license claimed,,,,,,No license claimed,No license claimed,,-1.0,,,,,#FF9800,
20763306,https://www.airbnb.com/rooms/20763306,Minion 3? Convention/Subway/Beach 130-3,CorpGroup37,https://www.airbnb.com/users/show/26704689,Mac,"Boston, Massachusetts, United States",South Boston,2020-09-01,,42.33601,-71.05292,Entire apartment,Entire home/apt,6,2.0,4.0,140.0,91,1125,91.0,t,30,60,90,364,92,Missing,f,Mac,26704689.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,39-2,218.13022900737943,,,#FF9800,True
21067311,https://www.airbnb.com/rooms/21067311,Minion 2? Downtown/Convention/Subway/Beach 130-2,CorpGroup37,https://www.airbnb.com/users/show/26704689,Mac,"Boston, Massachusetts, United States",South Boston,2020-09-01,,42.33617,-71.05275,Entire apartment,Entire home/apt,6,2.0,4.0,175.0,91,1125,91.0,t,30,60,90,365,81,Missing,f,Mac,26704689.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,39-2,292.0269869289632,,,#FF9800,True
21454153,https://www.airbnb.com/rooms/21454153,Minion? *Family*Tourist/Convention/Subway 130-1,CorpGroup37,https://www.airbnb.com/users/show/26704689,Mac,"Boston, Massachusetts, United States",South Boston,2020-09-01,,42.33476,-71.05313000000002,Entire apartment,Entire home/apt,11,4.0,8.0,486.0,91,1125,91.0,t,30,60,90,364,43,Missing,f,Mac,26704689.0,No license claimed,,,,,,No license claimed,No license claimed,,1.0,39-2,276.32186265117883,,,#FF9800,True
38026865,https://www.airbnb.com/rooms/38026865,Private bedroom in South Boston nr Downtown 130-1D,CorpGroup37,https://www.airbnb.com/users/show/26704689,Mac,"Boston, Massachusetts, United States",South Boston,2020-09-01,,42.33472,-71.05453,Private room in apartment,Private room,1,1.0,2.0,39.0,91,1125,91.0,t,30,60,90,365,0,Missing,f,Mac,26704689.0,No license claimed,,,,,,No license claimed,No license claimed,,-1.0,,,,,#FF9800,
38148436,https://www.airbnb.com/rooms/38148436,Private bedroom in South Boston nr Downtown 130-1A,CorpGroup37,https://www.airbnb.com/users/show/26704689,Mac,"Boston, Massachusetts, United States",South Boston,2020-09-01,,42.33411,-71.05343,Private room in apartment,Private room,1,1.0,1.0,30.0,91,1125,91.0,t,30,60,90,365,1,Missing,f,Mac,26704689.0,No license claimed,,,,,,No license claimed,No license claimed,,1.0,39-2,507.5408446966226,,,#FF9800,True
38163886,https://www.airbnb.com/rooms/38163886,Private bedroom in South Boston nr Downtown 130-1B,CorpGroup37,https://www.airbnb.com/users/show/26704689,Mac,"Boston, Massachusetts, United States",South Boston,2020-09-01,,42.33626,-71.05353000000002,Private room in apartment,Private room,1,1.0,1.0,42.0,91,1125,91.0,t,30,60,90,365,1,Missing,f,Mac,26704689.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,39-2,281.00310865653387,,,#FF9800,True
38164617,https://www.airbnb.com/rooms/38164617,Private bedroom in South Boston nr Downtown 130-1C,CorpGroup37,https://www.airbnb.com/users/show/26704689,Mac,"Boston, Massachusetts, United States",South Boston,2020-09-01,,42.33448,-71.05309,Private room in apartment,Private room,1,1.0,1.0,39.0,91,1125,91.0,t,16,46,76,351,1,Missing,f,Mac,26704689.0,No license claimed,,,,,,No license claimed,No license claimed,,1.0,39-2,378.51211256511704,,,#FF9800,True
38625988,https://www.airbnb.com/rooms/38625988,Private bedroom in South Boston nr Downtown 130-2A,CorpGroup37,https://www.airbnb.com/users/show/26704689,Mac,"Boston, Massachusetts, United States",South Boston,2020-09-01,,42.33615,-71.0534,Private room in apartment,Private room,1,1.0,1.0,60.0,91,1125,91.0,t,29,59,89,364,0,Missing,f,Mac,26704689.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,39-2,236.8944884273676,,,#FF9800,True
38627266,https://www.airbnb.com/rooms/38627266,Private bedroom in South Boston nr Downtown 130-2B,CorpGroup37,https://www.airbnb.com/users/show/26704689,Mac,"Boston, Massachusetts, United States",South Boston,2020-09-01,,42.33607,-71.05451,Private room in apartment,Private room,1,1.0,1.0,70.0,91,1125,91.0,t,29,59,89,364,0,Missing,f,Mac,26704689.0,No license claimed,,,,,,No license claimed,No license claimed,,0.0,39-2,377.07682616461744,,,#FF9800,True
