id,listing_url,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,last_scraped,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,temp_class,cluster,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
17075037,https://www.airbnb.com/rooms/17075037,Great Family Retreat min2Downtown Disney+FreePrk,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,2020-09-01,,42.30934,-71.06341,Entire house,Entire home/apt,12,3.0,6.0,448.0,2,1125,2.0,t,0,0,0,0,91,413523,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 1 Dorchester MA 02122,Limited Share Unit,4.0,listing,Active (limit exceeded),Active (limit exceeded),,0.0,24-3,497.7689509213084,,,#BF360C,True
17300501,https://www.airbnb.com/rooms/17300501,✪Elegant King 4mi to D-town freepk walk to train,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,2020-09-01,,42.3095,-71.06232,Private room in house,Private room,3,1.0,1.0,377.0,7,1125,7.0,t,26,56,86,118,37,413525,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 2 Dorchester MA 02122,Owner-Adjacent Unit,13.0,listing,Active (limit exceeded),Active (limit exceeded),,0.0,24-5,71.86769361606575,24-5-0,35.73560184897463,#BF360C,True
17547347,https://www.airbnb.com/rooms/17547347,✪2Doublebeds 4m to Downtown walk to subway freepk✪,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,2020-09-01,,42.31132,-71.06251,Private room in house,Private room,4,1.0,2.0,321.0,6,1125,6.0,t,26,56,64,64,72,413525,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 2 Dorchester MA 02122,Owner-Adjacent Unit,13.0,listing,Active (limit exceeded),Active (limit exceeded),,1.0,24-3,266.13161421207803,,,#BF360C,True
19020833,https://www.airbnb.com/rooms/19020833,✪SunnyDouble min 2 Fenway/DT walk to subway freepk,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,2020-09-01,,42.31158,-71.0637,Private room in house,Private room,2,1.0,1.0,277.0,7,1125,7.0,t,26,56,64,64,17,413525,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 2 Dorchester MA 02122,Owner-Adjacent Unit,13.0,listing,Active (limit exceeded),Active (limit exceeded),,2.0,24-3,396.6104005870889,,,#BF360C,True
19123216,https://www.airbnb.com/rooms/19123216,✪2 Double beds 4mi to Downtown near subway freepk✪,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,2020-09-01,,42.30994000000001,-71.06375,Private room in house,Private room,4,1.0,2.0,377.0,5,1125,5.0,t,26,56,64,64,37,413525,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 2 Dorchester MA 02122,Owner-Adjacent Unit,13.0,listing,Active (limit exceeded),Active (limit exceeded),,0.0,24-5,348.15307988269507,,,#BF360C,True
19143984,https://www.airbnb.com/rooms/19143984,✪Sunny King+sofa SmartTV 4m to DWTN FreePk• walk2T,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,2020-09-01,,42.30935,-71.06239000000002,Private room in house,Private room,5,1.0,2.0,313.0,6,1125,6.0,t,19,40,69,221,40,413525,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 2 Dorchester MA 02122,Owner-Adjacent Unit,13.0,listing,Active (limit exceeded),Active (limit exceeded),,0.0,24-5,102.10909657539192,24-5-0,78.32869337042268,#BF360C,True
20655696,https://www.airbnb.com/rooms/20655696,45%off Chic Retreat near Downtown Disney+ Freeprkg,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,2020-09-01,,42.30978,-71.06312,Entire house,Entire home/apt,16,5.0,8.0,561.0,2,1125,1.0,t,26,56,86,361,28,413525,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 2 Dorchester MA 02122,Owner-Adjacent Unit,13.0,listing,Active (limit exceeded),Active (limit exceeded),,0.0,24-5,168.18423946911375,,,#BF360C,True
22570371,https://www.airbnb.com/rooms/22570371,✪The Queen 4mi to Downtown near subway freepk✪,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,2020-08-31,,42.31099,-71.06362,Private room in house,Private room,2,1.0,1.0,41.0,2,1125,2.0,t,0,0,0,2,9,413523,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 1 Dorchester MA 02122,Limited Share Unit,4.0,listing,Active (limit exceeded),Active (limit exceeded),,-1.0,,,,,#BF360C,
22571244,https://www.airbnb.com/rooms/22571244,✪2 Double beds 4mi to Downtown near subway freepk✪,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,2020-08-31,,42.30936,-71.06347,Private room in house,Private room,4,1.0,2.0,299.0,2,1125,2.0,t,0,0,0,0,10,413523,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 1 Dorchester MA 02122,Limited Share Unit,4.0,listing,Active (limit exceeded),Active (limit exceeded),,0.0,24-3,495.3487617801248,,,#BF360C,True
22810966,https://www.airbnb.com/rooms/22810966,King room 4mi to Downtown•BCEC•FreePk• steps to T,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,2020-08-31,,42.31100000000001,-71.06177,Private room in house,Private room,4,1.0,2.0,299.0,2,1125,2.0,t,0,0,0,0,9,413523,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 1 Dorchester MA 02122,Limited Share Unit,4.0,listing,Active (limit exceeded),Active (limit exceeded),,-1.0,,,,,#BF360C,
26012594,https://www.airbnb.com/rooms/26012594,⭐ SweetRetreat 50%off near Downtown Disney+Freepkg,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,2020-09-01,,42.30953,-71.06248000000002,Entire house,Entire home/apt,16,5.0,8.0,538.0,2,1125,1.0,t,24,54,84,359,27,413525,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 2 Dorchester MA 02122,Owner-Adjacent Unit,13.0,listing,Active (limit exceeded),Active (limit exceeded),,0.0,24-5,32.61514374357982,24-5-0,79.55197110913387,#BF360C,True
26038867,https://www.airbnb.com/rooms/26038867,✪Villa5 2beds 4m to Dowtown stepsto T w/freeprk✪,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,2020-09-01,,42.30969,-71.06206999999998,Private room in house,Private room,4,1.0,2.0,170.0,3,1125,3.0,t,22,43,72,104,23,413525,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 2 Dorchester MA 02122,Owner-Adjacent Unit,13.0,listing,Active (limit exceeded),Active (limit exceeded),,0.0,24-5,131.91937481734968,24-5-0,74.92372737699894,#BF360C,True
26051186,https://www.airbnb.com/rooms/26051186,✪2double min to Fenway/D-Town near train freeprkg,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,2020-09-01,,42.30945,-71.06168000000002,Private room in house,Private room,4,1.0,2.0,177.0,3,1125,3.0,t,22,43,72,135,19,413525,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 2 Dorchester MA 02122,Owner-Adjacent Unit,13.0,listing,Active (limit exceeded),Active (limit exceeded),,0.0,24-5,240.57686062528862,24-5-0,138.81552655835907,#BF360C,True
26052117,https://www.airbnb.com/rooms/26052117,✪Sunny King w/Smartv 4m to City stepsto T freeprk✪,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,2020-09-01,,42.31113,-71.06199000000002,Private room in house,Private room,5,1.0,2.0,175.0,4,1125,4.0,t,22,43,72,104,19,413525,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 2 Dorchester MA 02122,Owner-Adjacent Unit,13.0,listing,Active (limit exceeded),Active (limit exceeded),,1.0,24-3,305.5601036818408,,,#BF360C,True
