id,listing_url,last_scraped,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,cluster,centroid_group_recognized,centroid_group_change_pct_listings,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
4075898,https://www.airbnb.com/rooms/4075898,2020-08-31,"Downtown Crossing ARTlab, 1 Bed Apt, Boston",CorpGroup21,https://www.airbnb.com/users/show/20857768,Compass,"Boston, Massachusetts, United States",Downtown,,42.35448,-71.06130999999998,Entire serviced apartment,Entire home/apt,2,1.0,0.0,129.0,9,1125,9.0,t,16,46,76,125,75,STRES,t,Compass,20857768.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,22-3,True,0.0,201.92641685878638,,,#9E9E9E,
4089940,https://www.airbnb.com/rooms/4089940,2020-08-31,"North End, 1 Bed Apt w/ office, Boston",CorpGroup21,https://www.airbnb.com/users/show/20857768,Compass,"Boston, Massachusetts, United States",North End,,42.36596,-71.05268000000002,Entire apartment,Entire home/apt,2,1.0,1.0,198.0,9,1125,9.0,t,0,0,0,0,54,STRES,f,Compass,20857768.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,,,,,,,#9E9E9E,
4118162,https://www.airbnb.com/rooms/4118162,2020-08-31,"Downtown Crossing ARTlab, 1 Bed Apt, Boston",CorpGroup21,https://www.airbnb.com/users/show/20857768,Compass,"Boston, Massachusetts, United States",Downtown,,42.35631,-71.06134,Entire apartment,Entire home/apt,2,1.0,1.0,120.0,9,1125,9.0,t,19,49,79,128,50,STRES,t,Compass,20857768.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,22-2,True,0.0,65.41627722022366,22-2-0,92.06389061427284,#9E9E9E,
4150640,https://www.airbnb.com/rooms/4150640,2020-08-31,Luxury Studio Apt in North End,CorpGroup21,https://www.airbnb.com/users/show/20857768,Compass,"Boston, Massachusetts, United States",North End,,42.36739,-71.0524,Entire apartment,Entire home/apt,2,,1.0,259.0,9,1125,9.0,t,0,0,0,0,23,STRES,f,Compass,20857768.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,,,,,,,#9E9E9E,
4510513,https://www.airbnb.com/rooms/4510513,2020-08-31,"Downtown Crossing ARTlab, Studio Apt, Boston",CorpGroup21,https://www.airbnb.com/users/show/20857768,Compass,"Boston, Massachusetts, United States",Downtown,,42.35592000000001,-71.05977,Entire apartment,Entire home/apt,2,,0.0,140.0,9,1125,9.0,t,21,51,81,83,45,STRES,t,Compass,20857768.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,,,,,,,#9E9E9E,
9448243,https://www.airbnb.com/rooms/9448243,2020-08-31,"1085 Boylston St. ARTlab, 1 Bed Apt, Boston",CorpGroup21,https://www.airbnb.com/users/show/20857768,Compass,"Boston, Massachusetts, United States",Fenway,,42.34585,-71.08827,Entire serviced apartment,Entire home/apt,3,1.0,1.0,147.0,9,1125,9.0,t,0,26,56,56,39,STRES,f,Compass,20857768.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,22-1,True,-0.14285714285714285,365.982736887629,22-1-0,147.85466352071631,#9E9E9E,True
9541295,https://www.airbnb.com/rooms/9541295,2020-08-31,"1085 Boylston St. ARTlab, 1 Bed Apt, Boston",CorpGroup21,https://www.airbnb.com/users/show/20857768,Compass,"Boston, Massachusetts, United States",Fenway,,42.34622,-71.08846,Entire apartment,Entire home/apt,2,1.0,1.0,130.0,9,1125,9.0,t,11,41,71,119,43,STRES,t,Compass,20857768.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,22-1,True,-0.14285714285714285,222.0125175161108,22-1-0,7.229465559048263,#9E9E9E,True
11431331,https://www.airbnb.com/rooms/11431331,2020-08-31,"1085 Boylston St. ARTlab, 1 Bed Apt, Boston",CorpGroup21,https://www.airbnb.com/users/show/20857768,Compass,"Boston, Massachusetts, United States",Fenway,,42.34771,-71.09006,Entire apartment,Entire home/apt,3,1.0,1.0,130.0,9,1125,9.0,t,20,50,80,104,46,STRES,t,Compass,20857768.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,22-1,True,-0.14285714285714285,480.2089515400113,,,#9E9E9E,True
13078148,https://www.airbnb.com/rooms/13078148,2020-08-31,"Downtown Crossing ARTlab, Studio Apt, Boston",CorpGroup21,https://www.airbnb.com/users/show/20857768,Compass,"Boston, Massachusetts, United States",Downtown,,42.35645,-71.06103,Entire apartment,Entire home/apt,2,,1.0,125.0,9,1125,9.0,t,18,44,74,74,23,STRES,t,Compass,20857768.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,22-2,True,0.0,53.54569847829849,22-2-0,46.27063593905624,#9E9E9E,
14424180,https://www.airbnb.com/rooms/14424180,2020-09-01,"Downtown Crossing ARTlab, 2 Bedroom 1 Bath",CorpGroup21,https://www.airbnb.com/users/show/20857768,Compass,"Boston, Massachusetts, United States",Downtown,,42.35626,-71.06149,Entire apartment,Entire home/apt,4,2.0,2.0,150.0,9,1125,9.0,t,1,8,8,8,34,STRES,t,Compass,20857768.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,22-2,True,0.0,107.63837125701255,,,#9E9E9E,
