id,listing_url,last_scraped,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,cluster,centroid_group_recognized,centroid_group_change_pct_listings,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
28716462,https://www.airbnb.com/rooms/28716462,2020-08-31,Stunning 3BD/3BA in Jamaica Plain,CorpGroup8,https://www.airbnb.com/users/show/212359760,Evonify,"Boston, Massachusetts, United States",Jamaica Plain,,42.3173,-71.11392,Entire apartment,Entire home/apt,6,3.0,4.0,192.0,1,1125,1.0,t,0,0,0,0,34,STRES,f,Evonify,212359760.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,,,,,,,#9E9E9E,
30180140,https://www.airbnb.com/rooms/30180140,2020-08-31,Evonify - Theatre District - Classic 1BD/Subway,CorpGroup8,https://www.airbnb.com/users/show/212359760,Evonify,,Downtown,,42.35269,-71.06387,Entire apartment,Entire home/apt,4,1.0,1.0,162.29,10,300,1.0,t,16,40,62,152,39,STRES,t,Evonify,212359760.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,8-1,True,-0.24242424242424246,286.3178681171626,8-1-0,98.18076329659284,#9E9E9E,True
31487769,https://www.airbnb.com/rooms/31487769,2020-08-31,Cozy Three Bedroom Apartment in Jamaica Plain,CorpGroup8,https://www.airbnb.com/users/show/212359760,Evonify,"Boston, Massachusetts, United States",Jamaica Plain,,42.31666,-71.1069,Entire apartment,Entire home/apt,8,3.0,3.0,376.0,1,300,1.0,t,0,0,0,0,6,STRES,f,Evonify,212359760.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,,,,,,,#9E9E9E,
33265824,https://www.airbnb.com/rooms/33265824,2020-08-31,Stunning 3BD/3BA in Jamaica Plain,CorpGroup8,https://www.airbnb.com/users/show/212359760,Evonify,"Boston, Massachusetts, United States",Jamaica Plain,,42.32078,-71.10461,Entire apartment,Entire home/apt,6,3.0,4.0,208.86,1,300,1.0,t,0,0,0,0,33,STRES,f,Evonify,212359760.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,,,,,,,#9E9E9E,
33435097,https://www.airbnb.com/rooms/33435097,2020-08-31,Evonify - Theatre District - Stunning 1BD/Subway,CorpGroup8,https://www.airbnb.com/users/show/212359760,Evonify,,Downtown,,42.35126,-71.06485,Entire apartment,Entire home/apt,3,1.0,1.0,172.0,1,300,1.0,t,27,57,87,177,2,STRES,t,Evonify,212359760.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,8-1,True,-0.24242424242424246,372.40362372984805,8-1-1,21.144204175766138,#9E9E9E,True
35126534,https://www.airbnb.com/rooms/35126534,2020-08-31,Evon | Boston Commons | Gorgeous 1BR + Subway n19,CorpGroup8,https://www.airbnb.com/users/show/212359760,Evonify,,Downtown,,42.35169000000001,-71.06399,Entire apartment,Entire home/apt,4,1.0,1.0,163.0,1,300,1.0,t,21,51,81,171,26,STRES,t,Evonify,212359760.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,8-1,True,-0.24242424242424246,96.7685030976772,8-1-2,150.49995283448206,#9E9E9E,True
36277068,https://www.airbnb.com/rooms/36277068,2020-08-31,Evon | Boston Commons | Gorgeous 2BR + Subway b15,CorpGroup8,https://www.airbnb.com/users/show/212359760,Evonify,,Downtown,,42.35275,-71.06324000000002,Entire apartment,Entire home/apt,4,2.0,2.0,131.0,1,300,1.0,t,24,54,84,169,30,STRES,t,Evonify,212359760.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,8-1,True,-0.24242424242424246,340.56714309542224,8-1-0,107.12810488873458,#9E9E9E,True
38106963,https://www.airbnb.com/rooms/38106963,2020-08-31,Evon | Back Bay Convention CTR | Beautiful 1BR S1,CorpGroup8,https://www.airbnb.com/users/show/212359760,Evonify,"Boston, Massachusetts, United States",Back Bay,,42.34193,-71.08308000000002,Entire apartment,Entire home/apt,3,1.0,1.0,130.0,1,300,1.0,t,0,0,0,0,11,STRES,f,Evonify,212359760.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,8-2,True,0.0,136.9617738581252,8-2-0,136.9617738581252,#9E9E9E,True
38167904,https://www.airbnb.com/rooms/38167904,2020-08-31,Evon | Back Bay Convention CTR | Beautiful 1BR S4,CorpGroup8,https://www.airbnb.com/users/show/212359760,Evonify,"Boston, Massachusetts, United States",Back Bay,,42.34249000000001,-71.08326,Entire apartment,Entire home/apt,3,1.0,1.0,134.0,1,300,1.0,t,0,0,0,0,9,STRES,f,Evonify,212359760.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,8-2,True,0.0,76.80345132295348,8-2-0,76.80345132295348,#9E9E9E,True
38168575,https://www.airbnb.com/rooms/38168575,2020-08-31,Evon | Back Bay Convention CTR | Cozy Studio S9,CorpGroup8,https://www.airbnb.com/users/show/212359760,Evonify,"Boston, Massachusetts, United States",Back Bay,,42.34392,-71.08193,Entire apartment,Entire home/apt,3,,1.0,132.0,1,300,1.0,t,0,0,0,0,18,STRES,f,Evonify,212359760.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,8-3,True,0.0,119.48923241998196,,,#9E9E9E,
