id,listing_url,last_scraped,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,cluster,centroid_group_recognized,centroid_group_change_pct_listings,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
17075037,https://www.airbnb.com/rooms/17075037,2020-09-01,Great Family Retreat min2Downtown Disney+FreePrk,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,,42.30934,-71.06341,Entire house,Entire home/apt,12,3.0,6.0,448.0,2,1125,2.0,t,0,0,0,0,91,413523,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 1 Dorchester MA 02122,Limited Share Unit,4.0,listing,Active (limit exceeded),Active (limit exceeded),,23-1,True,0.0,195.74241090414557,,,#BF360C,True
17300501,https://www.airbnb.com/rooms/17300501,2020-09-01,✪Elegant King 4mi to D-town freepk walk to train,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,,42.3095,-71.06232,Private room in house,Private room,3,1.0,1.0,377.0,7,1125,7.0,t,26,56,86,118,37,413525,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 2 Dorchester MA 02122,Owner-Adjacent Unit,13.0,listing,Active (limit exceeded),Active (limit exceeded),,23-1,True,0.0,115.8889299987537,23-1-0,35.73560184897463,#BF360C,True
17547347,https://www.airbnb.com/rooms/17547347,2020-09-01,✪2Doublebeds 4m to Downtown walk to subway freepk✪,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,,42.31132,-71.06251,Private room in house,Private room,4,1.0,2.0,321.0,6,1125,6.0,t,26,56,64,64,72,413525,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 2 Dorchester MA 02122,Owner-Adjacent Unit,13.0,listing,Active (limit exceeded),Active (limit exceeded),,23-2,True,0.0,140.46644037406045,,,#BF360C,
19020833,https://www.airbnb.com/rooms/19020833,2020-09-01,✪SunnyDouble min 2 Fenway/DT walk to subway freepk,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,,42.31158,-71.0637,Private room in house,Private room,2,1.0,1.0,277.0,7,1125,7.0,t,26,56,64,64,17,413525,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 2 Dorchester MA 02122,Owner-Adjacent Unit,13.0,listing,Active (limit exceeded),Active (limit exceeded),,23-3,True,0.0,95.91350955423073,,,#BF360C,
19123216,https://www.airbnb.com/rooms/19123216,2020-09-01,✪2 Double beds 4mi to Downtown near subway freepk✪,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,,42.30994000000001,-71.06375,Private room in house,Private room,4,1.0,2.0,377.0,5,1125,5.0,t,26,56,64,64,37,413525,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 2 Dorchester MA 02122,Owner-Adjacent Unit,13.0,listing,Active (limit exceeded),Active (limit exceeded),,23-1,True,0.0,307.34975517641743,,,#BF360C,True
19143984,https://www.airbnb.com/rooms/19143984,2020-09-01,✪Sunny King+sofa SmartTV 4m to DWTN FreePk• walk2T,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,,42.30935,-71.06239000000002,Private room in house,Private room,5,1.0,2.0,313.0,6,1125,6.0,t,19,40,69,221,40,413525,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 2 Dorchester MA 02122,Owner-Adjacent Unit,13.0,listing,Active (limit exceeded),Active (limit exceeded),,23-1,True,0.0,119.95184744005137,23-1-0,78.32869337042268,#BF360C,True
20655696,https://www.airbnb.com/rooms/20655696,2020-09-01,45%off Chic Retreat near Downtown Disney+ Freeprkg,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,,42.30978,-71.06312,Entire house,Entire home/apt,16,5.0,8.0,561.0,2,1125,1.0,t,26,56,86,361,28,413525,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 2 Dorchester MA 02122,Owner-Adjacent Unit,13.0,listing,Active (limit exceeded),Active (limit exceeded),,23-1,True,0.0,132.19258961495106,,,#BF360C,True
22570371,https://www.airbnb.com/rooms/22570371,2020-08-31,✪The Queen 4mi to Downtown near subway freepk✪,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,,42.31099,-71.06362,Private room in house,Private room,2,1.0,1.0,41.0,2,1125,2.0,t,0,0,0,2,9,413523,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 1 Dorchester MA 02122,Limited Share Unit,4.0,listing,Active (limit exceeded),Active (limit exceeded),,,,,,,,#BF360C,
22571244,https://www.airbnb.com/rooms/22571244,2020-08-31,✪2 Double beds 4mi to Downtown near subway freepk✪,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,,42.30936,-71.06347,Private room in house,Private room,4,1.0,2.0,299.0,2,1125,2.0,t,0,0,0,0,10,413523,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 1 Dorchester MA 02122,Limited Share Unit,4.0,listing,Active (limit exceeded),Active (limit exceeded),,23-1,True,0.0,208.26781699959042,,,#BF360C,True
22810966,https://www.airbnb.com/rooms/22810966,2020-08-31,King room 4mi to Downtown•BCEC•FreePk• steps to T,CorpGroup23,https://www.airbnb.com/users/show/25203946,Eder,"Boston, Massachusetts, United States",Dorchester,,42.31100000000001,-71.06177,Private room in house,Private room,4,1.0,2.0,299.0,2,1125,2.0,t,0,0,0,0,9,413523,t,Eder,25203946.0,Active (limit exceeded),Active,422 Bowdoin ST 15 1 Dorchester MA 02122,Limited Share Unit,4.0,listing,Active (limit exceeded),Active (limit exceeded),,,,,,,,#BF360C,
