id,listing_url,last_scraped,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,cluster,centroid_group_recognized,centroid_group_change_pct_listings,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
6646604,https://www.airbnb.com/rooms/6646604,2020-09-01,"Sunny renovated 1 bed, near BC,BU",CorpGroup16,https://www.airbnb.com/users/show/31340713,STARS,"Boston, Massachusetts, United States",Brighton,,42.34109,-71.14634000000002,Entire apartment,Entire home/apt,3,1.0,1.0,90.0,91,1125,91.0,t,0,0,19,108,31,Missing,f,Kama,31340713.0,No license claimed,,,,,,No license claimed,No license claimed,,17-4,True,-0.6666666666666666,376.7910339960607,,,#FF9800,True
11067772,https://www.airbnb.com/rooms/11067772,2020-09-01,"sunny,cozy,near BC,BU,Boston,MBTA",CorpGroup16,https://www.airbnb.com/users/show/31340713,STARS,"Boston, Massachusetts, United States",Brighton,,42.34212,-71.15439,Entire apartment,Entire home/apt,4,,2.0,102.0,28,1124,28.0,t,0,0,30,304,45,Missing,f,Kama,31340713.0,No license claimed,,,,,,No license claimed,No license claimed,,,,,,,,#FF9800,
14237196,https://www.airbnb.com/rooms/14237196,2020-08-31,Lovely garden level studio steps to transportation,CorpGroup16,https://www.airbnb.com/users/show/31340713,STARS,"Boston, Massachusetts, United States",Bay Village,,42.34932,-71.06681999999998,Entire apartment,Entire home/apt,4,,2.0,115.0,28,1125,28.0,t,0,30,60,324,67,Missing,f,Kama,31340713.0,No license claimed,,,,,,No license claimed,No license claimed,,,,,,,,#FF9800,
18170647,https://www.airbnb.com/rooms/18170647,2020-09-01,"Great 1 bedrm apt in Boston, Longwd Med",CorpGroup16,https://www.airbnb.com/users/show/31340713,STARS,,Brighton,,42.34006,-71.14529,Entire apartment,Entire home/apt,4,1.0,2.0,104.0,91,1125,91.0,t,30,60,90,364,3,Missing,f,Kama,31340713.0,No license claimed,,,,,,No license claimed,No license claimed,,17-4,True,-0.6666666666666666,158.16737651837647,,,#FF9800,True
27634728,https://www.airbnb.com/rooms/27634728,2020-09-01,Boston Condominium,CorpGroup16,https://www.airbnb.com/users/show/31340713,STARS,"Boston, Massachusetts, United States",Brighton,,42.33876,-71.15111999999998,Entire condominium,Entire home/apt,4,1.0,2.0,99.0,28,1125,28.0,t,0,0,0,274,14,Missing,f,Kama,31340713.0,No license claimed,,,,,,No license claimed,No license claimed,,17-2,True,0.0,67.58234712269217,,,#FF9800,
35605277,https://www.airbnb.com/rooms/35605277,2020-09-01,"Renovated Chic 1 Bed, Sleeps 4, Steps to Transit",CorpGroup16,https://www.airbnb.com/users/show/266312920,STARS,"Boston, Massachusetts, United States",Brighton,,42.33741,-71.15047,Entire condominium,Entire home/apt,4,1.0,2.0,99.0,28,1125,28.0,t,10,40,70,345,0,Missing,f,STARS Of,266312920.0,No license claimed,,,,,,No license claimed,No license claimed,,17-1,True,0.25,40.525981157138226,17-1-0,40.525981157138226,#FF9800,
36621324,https://www.airbnb.com/rooms/36621324,2020-09-01,Sunny and Spacious Furnished Brighton Studio,CorpGroup16,https://www.airbnb.com/users/show/266312920,STARS,"Boston, Massachusetts, United States",Brighton,,42.34152,-71.15477,Entire apartment,Entire home/apt,4,,2.0,102.0,28,1125,28.0,t,0,0,30,304,1,022903,f,STARS Of,266312920.0,Not found (fabricated),Not found (fabricated),,,1.0,,Not found (fabricated),Not found (fabricated),,,,,,,,#E64A19,
36621326,https://www.airbnb.com/rooms/36621326,2020-08-31,Downtown Boston Bay Village Furnished Studio,CorpGroup16,https://www.airbnb.com/users/show/266312920,STARS,"Boston, Massachusetts, United States",Bay Village,,42.34908,-71.06799000000002,Entire apartment,Entire home/apt,4,,2.0,102.0,28,1125,28.0,t,0,30,60,324,0,Missing,f,STARS Of,266312920.0,No license claimed,,,,,,No license claimed,No license claimed,,,,,,,,#FF9800,
36621741,https://www.airbnb.com/rooms/36621741,2020-09-01,Great 1 bedrm apt in a great location,CorpGroup16,https://www.airbnb.com/users/show/266312920,STARS,,Brighton,,42.33934,-71.14689,Entire apartment,Entire home/apt,4,1.0,2.0,185.0,91,1125,91.0,t,10,10,10,271,0,Missing,f,STARS Of,266312920.0,No license claimed,,,,,,No license claimed,No license claimed,,17-4,True,-0.6666666666666666,395.17997494715513,,,#FF9800,True
36621742,https://www.airbnb.com/rooms/36621742,2020-09-01,"Sunny, Renovated, Furnished 1-Bed",CorpGroup16,https://www.airbnb.com/users/show/266312920,STARS,"Boston, Massachusetts, United States",Brighton,,42.34076,-71.14537,Room in hotel,Private room,3,1.0,2.0,185.0,91,1125,91.0,t,0,0,19,108,0,Missing,f,STARS Of,266312920.0,No license claimed,,,,,,No license claimed,No license claimed,,17-4,True,-0.6666666666666666,270.63426540165216,,,#FF9800,True
39604562,https://www.airbnb.com/rooms/39604562,2020-08-31,"Over-sized historic one bedroom MGH,BU,MIT",CorpGroup16,https://www.airbnb.com/users/show/31340713,STARS,"Boston, Massachusetts, United States",Back Bay,,42.35353,-71.08058,Entire condominium,Entire home/apt,4,1.0,1.0,131.0,28,1125,28.0,t,0,9,24,57,2,Missing,f,Kama,31340713.0,No license claimed,,,,,,No license claimed,No license claimed,,17-3,True,0.5,70.902628146226,,,#FF9800,
39707104,https://www.airbnb.com/rooms/39707104,2020-09-01,"Bright, Spacious 1 Bedroom Steps to MBTA",CorpGroup16,https://www.airbnb.com/users/show/31340713,STARS,"Boston, Massachusetts, United States",Brighton,,42.337,-71.15063,Entire apartment,Entire home/apt,4,1.0,2.0,110.0,28,1125,28.0,t,0,0,0,252,0,Missing,f,Kama,31340713.0,No license claimed,,,,,,No license claimed,No license claimed,,17-1,True,0.25,135.92026616705994,17-1-0,135.92026616705994,#FF9800,
39731053,https://www.airbnb.com/rooms/39731053,2020-08-31,"Beautiful, Renovated, Fully Furnished 1 Bedroom",CorpGroup16,https://www.airbnb.com/users/show/266312920,STARS,"Boston, Massachusetts, United States",Back Bay,,42.35373,-71.08103,Entire condominium,Entire home/apt,2,1.0,1.0,119.0,28,1125,28.0,t,0,0,0,0,0,Missing,f,STARS Of,266312920.0,No license claimed,,,,,,No license claimed,No license claimed,,17-3,True,0.5,70.90254576993678,,,#FF9800,
39732562,https://www.airbnb.com/rooms/39732562,2020-09-01,"Sunny, 1 bedroom,steps to public trans,parkg avail",CorpGroup16,https://www.airbnb.com/users/show/266312920,STARS,"Boston, Massachusetts, United States",Brighton,,42.33892,-71.15163000000003,Entire apartment,Entire home/apt,4,1.0,1.0,110.0,28,1125,28.0,t,0,0,0,252,0,Missing,f,STARS Of,266312920.0,No license claimed,,,,,,No license claimed,No license claimed,,17-2,True,0.0,85.52038085674805,,,#FF9800,
40429003,https://www.airbnb.com/rooms/40429003,2020-08-31,"Renovated,Fully Furnished 1 Bedroom in Back Bay",CorpGroup16,https://www.airbnb.com/users/show/266312920,STARS,"Boston, Massachusetts, United States",Back Bay,,42.35251,-71.08245,Entire condominium,Entire home/apt,4,1.0,2.0,110.0,28,1125,28.0,t,0,9,24,57,0,Missing,f,STARS Of,266312920.0,No license claimed,,,,,,No license claimed,No license claimed,,,,,,,,#FF9800,
40493715,https://www.airbnb.com/rooms/40493715,2020-09-01,"Sunny, Private, Furnished 1 Bed Condo with Porch",CorpGroup16,https://www.airbnb.com/users/show/266312920,STARS,"Boston, Massachusetts, United States",Brighton,,42.33739,-71.15024,Entire apartment,Entire home/apt,4,1.0,2.0,99.0,28,1125,28.0,t,0,0,0,274,0,Missing,f,STARS Of,266312920.0,No license claimed,,,,,,No license claimed,No license claimed,,17-1,True,0.25,44.57884377500035,17-1-0,44.57884377500035,#FF9800,
40493790,https://www.airbnb.com/rooms/40493790,2020-09-01,"Furnished , Newly Renovated, Spacious Studio",CorpGroup16,https://www.airbnb.com/users/show/266312920,STARS,"Boston, Massachusetts, United States",Brighton,,42.33697,-71.15209,Entire apartment,Entire home/apt,2,,1.0,83.0,31,1125,31.0,t,3,28,58,180,0,Missing,f,STARS Of,266312920.0,No license claimed,,,,,,No license claimed,No license claimed,,,,,,,,#FF9800,
