id,listing_url,last_scraped,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,cluster,centroid_group_recognized,centroid_group_change_pct_listings,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
17300316,https://www.airbnb.com/rooms/17300316,2020-09-01,★ The Antler Room | Close to Subway + Downtown ★,102027626,https://www.airbnb.com/users/show/102027626,Eddie & Nayeli,"Boston, Massachusetts, United States",Dorchester,,42.28901,-71.06819,Private room in house,Private room,1,1.0,1.0,69.0,2,90,2.0,t,0,0,0,89,121,386945,f,,,Active,Active,68 Welles AVE 17 2 Dorchester MA 02124,Limited Share Unit,3.0,,Active,Active,,73-1,True,0.0,122.27441616431422,,,#4CAF50,
17810176,https://www.airbnb.com/rooms/17810176,2020-08-31,★ The Buddha Room | Close to Subway + Downtown ★,102027626,https://www.airbnb.com/users/show/102027626,Eddie & Nayeli,"Boston, Massachusetts, United States",Dorchester,,42.28901,-71.06819,Private room in house,Private room,1,1.0,1.0,59.0,2,90,2.0,t,0,0,0,0,80,386945,f,,,Active,Active,68 Welles AVE 17 2 Dorchester MA 02124,Limited Share Unit,3.0,,Active,Active,,73-1,True,0.0,122.27441616431422,,,#4CAF50,
32894516,https://www.airbnb.com/rooms/32894516,2020-09-01,★ The Elephant Room | Close to Subway + Downtown ★,102027626,https://www.airbnb.com/users/show/102027626,Eddie & Nayeli,"Boston, Massachusetts, United States",Dorchester,,42.28798,-71.06854,Private room in house,Private room,2,1.0,1.0,79.0,2,90,2.0,t,21,41,70,160,48,398049,f,,,Active,Active,68 Welles AVE 17 1 Dorchester MA 02124,Owner-Adjacent Unit,3.0,,Active,Active,,73-2,True,0.0,34.621041878573145,,,#4CAF50,
32895915,https://www.airbnb.com/rooms/32895915,2020-09-01,★ The Map Room | Close to Subway + Downtown ★,102027626,https://www.airbnb.com/users/show/102027626,Eddie & Nayeli,"Boston, Massachusetts, United States",Dorchester,,42.28817,-71.06854,Private room in house,Private room,2,1.0,1.0,79.0,2,90,2.0,t,22,42,71,161,32,398049,f,,,Active,Active,68 Welles AVE 17 1 Dorchester MA 02124,Owner-Adjacent Unit,3.0,,Active,Active,,73-2,True,0.0,34.62104245537727,,,#4CAF50,
34422276,https://www.airbnb.com/rooms/34422276,2020-09-01,★ The Boiler Room | Close to Subway + Downtown ★,102027626,https://www.airbnb.com/users/show/102027626,Eddie & Nayeli,"Boston, Massachusetts, United States",Dorchester,,42.28809,-71.06764,Private room in house,Private room,2,1.0,1.0,79.0,2,1125,2.0,t,21,32,56,146,75,386945,f,,,Active,Active,68 Welles AVE 17 2 Dorchester MA 02124,Limited Share Unit,3.0,,Active,Active,,73-1,True,0.0,244.54910875095908,,,#4CAF50,
39893738,https://www.airbnb.com/rooms/39893738,2020-09-01,★ Ashmont Apartment | Close to Subway + Downtown ★,102027626,https://www.airbnb.com/users/show/102027626,Eddie & Nayeli,"Boston, Massachusetts, United States",Dorchester,,42.28982,-71.06748,Entire condominium,Entire home/apt,4,2.0,2.0,180.0,2,1125,2.0,t,15,35,64,153,13,398049,f,,,Active,Active,68 Welles AVE 17 1 Dorchester MA 02124,Owner-Adjacent Unit,3.0,,Active,Active,,,,,,,,#4CAF50,
