id,listing_url,last_scraped,name,host_id,host_url,host,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,license,instant_bookable,host_alias,alias_id,status,ISD_status,ISD_address,ISD_category,license_listing_count,license_cat_max_exceed,simple_status,full_status,other_hosts,cluster,centroid_group_recognized,centroid_group_change_pct_listings,centroid_group_distance,sub_centroid,sub_centroid_distance,color,high_confidence
1240598,https://www.airbnb.com/rooms/1240598,2020-09-01,"Studio by Tufts Medical, door knobs wiped daily",CorpGroup33,https://www.airbnb.com/users/show/2356643,Voyage,"Boston, Massachusetts, United States",Downtown,,42.35257,-71.0636,Entire apartment,Entire home/apt,2,1.0,1.0,70.43,10,365,10.0,t,1,1,1,1,174,STRES,t,Voyage,2356643.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,36-1,True,-0.2,186.0392515545148,,,#9E9E9E,
1873046,https://www.airbnb.com/rooms/1873046,2020-08-31,"Cute 1 Bedroom Apartment, Downtown Boston",CorpGroup33,https://www.airbnb.com/users/show/2356643,Voyage,"Boston, Massachusetts, United States",Downtown,,42.35284,-71.06260999999998,Entire apartment,Entire home/apt,3,1.0,1.0,76.0,2,365,2.0,t,0,0,0,0,128,STRES,t,Voyage,2356643.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,36-1,True,-0.2,396.0127060933725,,,#9E9E9E,
2747654,https://www.airbnb.com/rooms/2747654,2020-08-31,"224 Tremont 2A · Great studio for social distance, natural light",CorpGroup33,https://www.airbnb.com/users/show/2356643,Voyage,"Boston, Massachusetts, United States",Downtown,,42.35033,-71.065,Entire apartment,Entire home/apt,3,,1.0,97.0,10,365,10.0,t,30,60,90,365,177,STRES,t,Voyage,2356643.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,,,,,,,#9E9E9E,
3068453,https://www.airbnb.com/rooms/3068453,2020-08-31,"224 Tremont St 3C · Large Studio, building door knobs cleaned daily",CorpGroup33,https://www.airbnb.com/users/show/2356643,Voyage,"Boston, Massachusetts, United States",Downtown,,42.35188,-71.06418000000002,Entire apartment,Entire home/apt,3,,1.0,63.0,10,365,10.0,t,19,49,79,353,194,STRES,t,Voyage,2356643.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,36-1,True,-0.2,162.50300953050257,,,#9E9E9E,
4275846,https://www.airbnb.com/rooms/4275846,2020-08-31,"Apt near Grocery Store, Tufts Medical",CorpGroup33,https://www.airbnb.com/users/show/2356643,Voyage,"Boston, Massachusetts, United States",Downtown,,42.35123,-71.06408,Entire apartment,Entire home/apt,2,1.0,1.0,118.0,10,365,10.0,t,14,44,74,346,165,STRES,t,Voyage,2356643.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,36-1,True,-0.2,326.02517596108237,,,#9E9E9E,
4924009,https://www.airbnb.com/rooms/4924009,2020-08-31,"224 Tremont St 3B · Medical workers welcome. Near Tufts Med, BMC, MGH",CorpGroup33,https://www.airbnb.com/users/show/2356643,Voyage,"Boston, Massachusetts, United States",Downtown,,42.35178,-71.06368,Entire apartment,Entire home/apt,2,,1.0,70.0,10,365,10.0,t,20,33,63,337,180,STRES,t,Voyage,2356643.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,36-1,True,-0.2,102.93332814616836,,,#9E9E9E,
17333246,https://www.airbnb.com/rooms/17333246,2020-08-31,"144 Bowdoin St 64 · Clean place for social distance, low density area",CorpGroup33,https://www.airbnb.com/users/show/2356643,Voyage,"Boston, Massachusetts, United States",Downtown,,42.35881,-71.0626,Entire apartment,Entire home/apt,2,,1.0,110.0,10,365,10.0,t,30,60,90,363,90,STRES,t,Voyage,2356643.0,Exempt (not verified),,,Exempt: Executive Suite,,,Exempt (not verified),Exempt (not verified): Executive Suite,,,,,,,,#9E9E9E,
18934135,https://www.airbnb.com/rooms/18934135,2020-08-31,"144 Bowdoin St 63 · Short walk to MGH, great unit to stay inside",CorpGroup33,https://www.airbnb.com/users/show/2356643,Voyage,"Boston, Massachusetts, United States",Beacon Hill,,42.35761,-71.06385,Entire apartment,Entire home/apt,3,,1.0,84.0,10,365,10.0,t,0,29,59,149,57,STRHS,t,Voyage,2356643.0,Exempt (not verified),,,Exempt: Hospital Stays,,,Exempt (not verified),Exempt (not verified): Hospital Stays,,,,,,,,#9E9E9E,
43498920,https://www.airbnb.com/rooms/43498920,2020-08-31,"Isolate by Charles River, 1BD Apt in Back Bay",CorpGroup33,https://www.airbnb.com/users/show/2356643,Voyage,,Back Bay,,42.35125,-71.08204,Entire apartment,Entire home/apt,2,1.0,1.0,105.0,2,1125,2.0,t,0,12,39,39,1,STRHS,t,Voyage,2356643.0,Exempt (not verified),,,Exempt: Hospital Stays,,,Exempt (not verified),Exempt (not verified): Hospital Stays,,,,,,,,#9E9E9E,
43625063,https://www.airbnb.com/rooms/43625063,2020-08-31,"Isolate by Charles River, Studio in Back Bay",CorpGroup33,https://www.airbnb.com/users/show/2356643,Voyage,,Back Bay,,42.35108,-71.08097,Entire apartment,Entire home/apt,2,,1.0,86.0,10,1125,10.0,t,0,17,47,47,1,432725,t,Voyage,2356643.0,Exempt (verified),Active,240 Marlborough ST 05 1-B Boston MA 02116,Exempt: Executive Suite,1.0,,Exempt (verified),Exempt (verified): Executive Suite,,,,,,,,#607D8B,
